'Nombre: Aragon en Marcilla Código: C05 Fecha: 11/09/2010 Canales:18 IP: 10.15.2.21
'HHMM;1,A1,;2,A2,C;3,A3,uS;4,A4,mg/l;5,A5,mV;6,A6,mg/l;7,A7,m-1;8,A8,NTU;9,A9,m;10,A10,;11,A11,;12,A12,;13,A13,;14,A14,;15,A15,;16,A16,;17,A17,;18,A18,
1640 8.46V 18.34V 396.86V 10.99V 322.15V 0.03V 5.31V 17.57V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1650 8.46V 18.33V 395.32V 10.97V 321.99V 0.03V 4.90V 17.29V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1700 8.47V 18.31V 395.54V 10.96V 322.18V 0.03V 4.79V 17.85V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1710 8.47V 18.32V 395.49V 10.94V 323.05V 0.03V 4.68V 18.26V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1720 8.47V 18.32V 392.46V 10.93V 323.15V 0.03V 4.62V 18.64V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1730 8.47V 18.32V 392.76V 10.92V 324.27V 0.03V 4.68V 18.99V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1740 8.47V 18.30V 393.91V 10.90V 324.27V 0.03V 4.83V 18.62V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1750 8.47V 18.30V 393.95V 10.87V 325.24V 0.03V 5.42V 18.96V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1800 8.47V 18.30V 393.91V 10.85V 326.39V 0.03V 5.38V 18.61V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1810 8.47V 18.28V 394.00V 10.81V 327.26V 0.03V 4.76V 20.34V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1820 8.46V 18.27V 395.28V 10.79V 328.42V 0.03V 4.75V 19.62V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1830 8.47V 18.25V 392.50V 10.74V 329.35V 0.03V 4.79V 20.00V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1840 8.46V 18.23V 394.00V 10.72V 330.57V 0.03V 4.87V 19.67V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1850 8.45V 18.21V 392.71V 10.67V 332.44V 0.03V 4.83V 20.35V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1900 8.45V 18.20V 393.95V 10.64V 333.79V 0.03V 5.14V 19.97V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1910 8.44V 18.16V 393.78V 10.60V 334.72V 0.03V 5.42V 20.35V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1920 8.44V 18.14V 394.25V 10.56V 336.84V 0.03V 4.87V 21.68V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1930 8.43V 18.13V 394.00V 10.54V 339.02V 0.03V 4.86V 20.70V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1940 8.43V 18.09V 392.54V 10.50V 339.92V 0.03V 4.79V 20.70V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
